Discriminant ? Level ? w_m ? Genus ? Elliptic Point Counts
10 ? 3 ? 3 ? 0 ? <2, 0>,<3, 0>,<4, 0>,<6, 4> 
10 ? 3 ? 5 ? 0 ? <2, 4>,<3, 4>,<4, 0>,<6, 0> 
10 ? 3 ? 6 ? 1 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 3 ? 10 ? 1 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 3 ? 15 ? 1 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
10 ? 3 ? 30 ? 0 ? <2, 4>,<3, 4>,<4, 0>,<6, 0> 
10 ? 7 ? 1 ? 1 ? [ 2, 0 ],[ 3, 8 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 7 ? 2 ? 1 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 7 ? 5 ? 0 ? <2, 4>,<3, 8>,<4, 0>,<6, 0> 
10 ? 7 ? 7 ? 1 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 7 ? 10 ? 0 ? <2, 4>,<3, 8>,<4, 0>,<6, 0> 
10 ? 7 ? 14 ? 1 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 7 ? 35 ? 0 ? <2, 4>,<3, 4>,<4, 0>,<6, 0> 
10 ? 7 ? 70 ? 0 ? <2, 4>,<3, 8>,<4, 0>,<6, 0> 
10 ? 11 ? 1 ? 5 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 11 ? 2 ? 2 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
10 ? 11 ? 5 ? 3 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 11 ? 10 ? 2 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
10 ? 11 ? 11 ? 3 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 11 ? 22 ? 2 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
10 ? 11 ? 55 ? 3 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 11 ? 110 ? 0 ? <2, 12>,<3, 0>,<4, 0>,<6, 0> 
10 ? 13 ? 1 ? 3 ? [ 2, 0 ],[ 3, 8 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 13 ? 2 ? 2 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 13 ? 5 ? 2 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 13 ? 10 ? 1 ? <2, 4>,<3, 8>,<4, 0>,<6, 0> 
10 ? 13 ? 13 ? 1 ? <2, 4>,<3, 8>,<4, 0>,<6, 0> 
10 ? 13 ? 26 ? 2 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 13 ? 65 ? 0 ? <2, 8>,<3, 8>,<4, 0>,<6, 0> 
10 ? 13 ? 130 ? 1 ? <2, 4>,<3, 8>,<4, 0>,<6, 0> 
10 ? 17 ? 1 ? 7 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 17 ? 2 ? 3 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
10 ? 17 ? 5 ? 4 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 17 ? 10 ? 4 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 17 ? 17 ? 2 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
10 ? 17 ? 34 ? 4 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 17 ? 85 ? 3 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
10 ? 17 ? 170 ? 1 ? <2, 12>,<3, 0>,<4, 0>,<6, 0> 
10 ? 19 ? 1 ? 5 ? [ 2, 0 ],[ 3, 8 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 19 ? 2 ? 2 ? <2, 4>,<3, 4>,<4, 0>,<6, 0> 
10 ? 19 ? 5 ? 3 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 19 ? 10 ? 2 ? <2, 4>,<3, 8>,<4, 0>,<6, 0> 
10 ? 19 ? 19 ? 3 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 19 ? 38 ? 0 ? <2, 12>,<3, 8>,<4, 0>,<6, 0> 
10 ? 19 ? 95 ? 3 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 19 ? 190 ? 2 ? <2, 4>,<3, 8>,<4, 0>,<6, 0> 
10 ? 21 ? 1 ? 9 ? [ 2, 0 ],[ 3, 8 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 21 ? 2 ? 5 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 21 ? 3 ? 3 ? <2, 0>,<3, 0>,<4, 0>,<6, 8> 
10 ? 21 ? 5 ? 3 ? <2, 8>,<3, 8>,<4, 0>,<6, 0> 
10 ? 21 ? 6 ? 5 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 21 ? 7 ? 5 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 21 ? 10 ? 5 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 21 ? 14 ? 5 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 21 ? 15 ? 5 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 21 ? 21 ? 5 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 21 ? 30 ? 5 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 21 ? 35 ? 3 ? <2, 8>,<3, 4>,<4, 0>,<6, 0> 
10 ? 21 ? 42 ? 3 ? <2, 8>,<3, 8>,<4, 0>,<6, 0> 
10 ? 21 ? 70 ? 5 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 21 ? 105 ? 3 ? <2, 8>,<3, 8>,<4, 0>,<6, 0> 
10 ? 21 ? 210 ? 3 ? <2, 8>,<3, 8>,<4, 0>,<6, 0> 
10 ? 23 ? 1 ? 9 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 23 ? 2 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 23 ? 5 ? 4 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
10 ? 23 ? 10 ? 4 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
10 ? 23 ? 23 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 23 ? 46 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 23 ? 115 ? 4 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
10 ? 23 ? 230 ? 0 ? <2, 20>,<3, 0>,<4, 0>,<6, 0> 
10 ? 29 ? 1 ? 11 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 29 ? 2 ? 6 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 29 ? 5 ? 5 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
10 ? 29 ? 10 ? 6 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 29 ? 29 ? 6 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 29 ? 58 ? 5 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
10 ? 29 ? 145 ? 4 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
10 ? 29 ? 290 ? 1 ? <2, 20>,<3, 0>,<4, 0>,<6, 0> 
10 ? 31 ? 1 ? 9 ? [ 2, 0 ],[ 3, 8 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 31 ? 2 ? 5 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 31 ? 5 ? 5 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 31 ? 10 ? 5 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 31 ? 31 ? 5 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 31 ? 62 ? 1 ? <2, 16>,<3, 8>,<4, 0>,<6, 0> 
10 ? 31 ? 155 ? 3 ? <2, 8>,<3, 4>,<4, 0>,<6, 0> 
10 ? 31 ? 310 ? 3 ? <2, 8>,<3, 8>,<4, 0>,<6, 0> 
10 ? 33 ? 1 ? 17 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 33 ? 2 ? 7 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
10 ? 33 ? 3 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 33 ? 5 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 33 ? 6 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 33 ? 10 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 33 ? 11 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 33 ? 15 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 33 ? 22 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 33 ? 30 ? 7 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
10 ? 33 ? 33 ? 7 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
10 ? 33 ? 55 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 33 ? 66 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 33 ? 110 ? 3 ? <2, 24>,<3, 0>,<4, 0>,<6, 0> 
10 ? 33 ? 165 ? 7 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
10 ? 33 ? 330 ? 7 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
10 ? 37 ? 1 ? 11 ? [ 2, 0 ],[ 3, 8 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 37 ? 2 ? 6 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 37 ? 5 ? 6 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 37 ? 10 ? 5 ? <2, 4>,<3, 8>,<4, 0>,<6, 0> 
10 ? 37 ? 37 ? 5 ? <2, 4>,<3, 8>,<4, 0>,<6, 0> 
10 ? 37 ? 74 ? 6 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 37 ? 185 ? 2 ? <2, 16>,<3, 8>,<4, 0>,<6, 0> 
10 ? 37 ? 370 ? 3 ? <2, 12>,<3, 8>,<4, 0>,<6, 0> 
10 ? 39 ? 1 ? 17 ? [ 2, 0 ],[ 3, 8 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 39 ? 2 ? 9 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 39 ? 3 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 8> 
10 ? 39 ? 5 ? 9 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 39 ? 6 ? 9 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 39 ? 10 ? 9 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 39 ? 13 ? 9 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 39 ? 15 ? 9 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 39 ? 26 ? 9 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 39 ? 30 ? 7 ? <2, 8>,<3, 8>,<4, 0>,<6, 0> 
10 ? 39 ? 39 ? 9 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 39 ? 65 ? 5 ? <2, 16>,<3, 8>,<4, 0>,<6, 0> 
10 ? 39 ? 78 ? 7 ? <2, 8>,<3, 8>,<4, 0>,<6, 0> 
10 ? 39 ? 130 ? 9 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 39 ? 195 ? 7 ? <2, 8>,<3, 4>,<4, 0>,<6, 0> 
10 ? 39 ? 390 ? 5 ? <2, 16>,<3, 8>,<4, 0>,<6, 0> 
10 ? 41 ? 1 ? 15 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 41 ? 2 ? 7 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
10 ? 41 ? 5 ? 7 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
10 ? 41 ? 10 ? 7 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
10 ? 41 ? 41 ? 8 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 41 ? 82 ? 6 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
10 ? 41 ? 205 ? 6 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
10 ? 41 ? 410 ? 4 ? <2, 16>,<3, 0>,<4, 0>,<6, 0> 
10 ? 43 ? 1 ? 13 ? [ 2, 0 ],[ 3, 8 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 43 ? 2 ? 6 ? <2, 4>,<3, 4>,<4, 0>,<6, 0> 
10 ? 43 ? 5 ? 6 ? <2, 4>,<3, 8>,<4, 0>,<6, 0> 
10 ? 43 ? 10 ? 7 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 43 ? 43 ? 6 ? <2, 4>,<3, 4>,<4, 0>,<6, 0> 
10 ? 43 ? 86 ? 7 ? <2, 0>,<3, 8>,<4, 0>,<6, 0> 
10 ? 43 ? 215 ? 7 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
10 ? 43 ? 430 ? 4 ? <2, 12>,<3, 8>,<4, 0>,<6, 0> 
10 ? 47 ? 1 ? 17 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
10 ? 47 ? 2 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 47 ? 5 ? 8 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
10 ? 47 ? 10 ? 8 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
10 ? 47 ? 47 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 47 ? 94 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
10 ? 47 ? 235 ? 8 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
10 ? 47 ? 470 ? 4 ? <2, 20>,<3, 0>,<4, 0>,<6, 0> 
